,id,comment_text, 'Bandwagon',"""Misrepresentation of Someone's Position (Straw Man)""",'Appeal to authority','Appeal to fear/prejudice','Black-and-white Fallacy/Dictatorship','Causal Oversimplification','Doubt','Exaggeration/Minimisation','Flag-waving','Glittering generalities (Virtue)','Loaded Language','Name calling/Labeling',"Obfuscation, Intentional vagueness, Confusion",'Presenting Irrelevant Data (Red Herring)','Reductio ad hitlerum','Repetition','Slogans','Smears','Thought-terminating cliché','Whataboutism'
1515,614_batch_2,"If the logic of the anti-blockade protest applies to other areas of life:
""Ok guys, we've slowed down to a safe fall speed, so clearly we don't need these parachutes anymore!""",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3311,605_batch_2,"Before we do the teacher, start this up your blood
Entering liberalism, conservatism, or independence?

(Yes, medical decisions based on most of the silly politics of this sound)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7323,380_batch_2,"42 days before I become my president, season two begins

I like this program",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
450,532_batch_2,"LOOK SON 
DEMOCRATS DESTROYING STATUES OF RACIST DEMOCRATS PUT THERE BY DEMOCRATS
",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3083,454_batch_2,"THINKING what they got

SHE WIFE OR MY WHO?

How to ASK IT to do thinking like Hillary LOOK?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,7,"HARRY S. TRUMAN
""YOU CAN'T GET RICH IN POLITICS UNLESS YOU'RE A CROOK.""

WE KNOW
",0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2234,112,"Hillary Clinton Joe Biden

Weekend Bernies' S AT

He might have died... But he's the party's life!",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5286,86_batch_2,"YOU THINK YOU ARE IN DROX'S HOUSE, YOU SEE MANY CATS!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1691,170_batch_2,"FIRST PHOTO OF THE RUSSIAN VACCINE

VODKA SMIRNOFF",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2535,99_batch_2,"Irresponsible President!

Irresponsible man !!!",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
3731,85,"Democrats voted with the United States, and will be offered to illegal aliens free of charge after purchase insurance not for remember citizens.",0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
1675,188_batch_2,"It is not that most are silent

This is because the media does not talk about the majority.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4141,268_batch_2,Would you ever vote for a Democrat to run your city?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6658,85,"Remember, Democrats voted with American citizens not to buy insurance, so it is made available to illegal aliens for free.",0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
3367,629_batch_2,"Where does the ""old"" concept of Qi and meridians come from?
that your acupuncturist speaks about origin?

By this French author in 1939.
Nothing old or Chinese.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1061,654_batch_2,"We know that the moon landings were not simulated.

Because that's how we found out that the earth was flat.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3003,414_batch_2,"Whenever I think I have a terrible day at work, I am reminded that NANCY PELOSI HAS A GYNECOLOGIST.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3120,519_batch_2,"RANGE 1 TO 1984

HOW FREE DO YOU FEEL BY WEARING MURZA IN THE STORE FOLLOWING THE ARROWS ON THE FLOOR?",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5409,84_batch_2,IMAGINE the possibilities if they try so hard to clean up the shattered communities.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5321,164_batch_2,"Anti-vaccine tells measles measles evidence that Brady herd episodes don't make a big deal.

If you have to be ill, surely you can't beat measles

With this logic, Hogan's hero World War II fainic is just a fortified concentration camp with evidence of bullshit and laughter.",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
